gid,subject,presubject,formats,photo,sale_price,market_price,sold,unit,number
1,路斯 粗粮系列 洁齿除臭饼干 450g ,添加海藻精华 香脆美味 减少口臭 训犬好零食,450g,https://img1.epetbar.com/2016-10/10/8/0f4f7a77f0b174f6dabd8c89d7a1bc72.jpg,19.8,25,售出:2.32w,罐,1
2,哈格Hugdarling 米奇除臭小饼多味装100g,洁齿除臭 多味享受 可爱米奇造型 新老包装随机发,100g,https://img1.epetbar.com/2016-08/30/10/e358e1ee3c3e88440e539194fb80010a.jpg,5.8,8,售出:2217,包,2
3,拍拖宝贝 犬用除臭饼干桶装400g,清新口气 补钙增体力 缓解疲劳 低脂易吸收,400g,https://img1.epetbar.com/2015-08/14/16/4abc785870dcb52f1246549d9db116d9.jpg,25,30,售出:3.47w,桶,3
4,蒙贝 肉骨诱惑鲜香牛肉片狗零食 70g,鲜香美味 营养补钙 健齿健体,70g,https://img1.epetbar.com/2018-07/04/09/56ebebe5d6f9870ead3e3ed2f470c5a9.jpg,26.8,32.16,售出:1601,罐,4
5,路斯 奶酪牛肉棒狗零食180g,干燥有嚼劲 磨牙解馋 营养美味 训练奖励,180g,https://img1.epetbar.com/2018-04/28/11/0dc4e258f419b84dda0afcce38223f49.jpg,18.9,25,售出:5.78w,袋,5
6,爱丽思IRIS 鸡胸肉软片 TSY-16US 160g,日本品牌畅销全球 天然食材 无色素 无添加 蛋白质丰富 ,鸡胸肉软片,https://img1.epetbar.com/2015-11/26/18/7e1cf3419982fc4284ee9e88a190b2a5.jpg,19,38,售出:2209,袋,6
7,盛来知Sunrise 脆骨条狗零食 420g,日本原装 可口猪臀肉+蔬菜 肉香四溢 美味适口,猪肉+蔬菜,https://img1.epetbar.com/2016-10/20/14/9da1dd86a659377e078162f68df3de2c.jpg,50,60,售出:178,袋,7
8,皇家royal canin PR27小型犬成犬专用狗粮2kg ,健康膳食 亮丽皮毛,2kg,https://img1.epetbar.com/2018-12/11/19/6a115b1ddec3509999efd753d588f90a.jpg,116,135.4,售出:1.39w,袋,8
9,冠能小型犬成犬全价犬粮 7kg,雀巢旗下狗粮 经典配方 好营养 助消化 促成长,7kg,https://img1.epetbar.com/2016-11/28/18/0d5a977d93182a6d6557d4ca71455cf6.jpg,375,483.5,售出:3208,袋,9
10,比利时原装进口 欧冠 鸡肉米饭中型成犬/老年犬粮 3kg,专为老年中型犬 鲜肉原料营养足 免疫强少生病,3kg,https://img1.epetbar.com/goods/sales/upload_file_20193148877.jpg,198,294,售出:150,袋,10
